Sample ID	block	run	treatment	fauna	temp	cockles_nb	shrimps_nb	worms_nb	seed_nb	seed_depth	Germination1	value1	Germination2	value2
2.11.3	11	2	Worms-Warming	WORM	WARM	0	0	11	9	0	0_germ_perc	0.333333333	0_germ_perc	0.333333333
2.11.4	11	2	no fauna-Warming	NO	WARM	0	0	1	11	0.227272727	0_germ_perc	0.285714286	0_germ_perc	0.285714286
2.11.5	11	2	Cockles-Warming	COCKLE	WARM	2	0	1	10	0.35	0_germ_perc	0.333333333	0_germ_perc	0.333333333
2.12.1	12	2	no fauna-Warming	NO	WARM	0	0	0	9	0	0_germ_perc	0	0_germ_perc	0
2.12.2	12	2	Mix-Warming	MIX	WARM	1	2	5	10	0.55	0_germ_perc	0	0_germ_perc	0
2.12.3	12	2	Shrimps-Warming	SHRIMP	WARM	0	1	0	10	0.25	0_germ_perc	0	0_germ_perc	0
2.12.4	12	2	Cockles-Warming	COCKLE	WARM	2	0	2	10	0.65	0_germ_perc	1	0_germ_perc	1
2.12.5	12	2	Worms-Warming	WORM	WARM	0	0	9	10	0.05	0_germ_perc	0.25	0_germ_perc	0.25
2.13.1	13	2	Mix-Warming	MIX	WARM	1	1	9	11	0.909090909	0_germ_perc	0.333333333	0_germ_perc	0.333333333
2.13.2	13	2	Shrimps-Warming	SHRIMP	WARM	0	2	4	9	0.388888889	0_germ_perc	0.333333333	0_germ_perc	0.333333333
2.13.3	13	2	no fauna-Warming	NO	WARM	0	0	3	7	0	0_germ_perc	0	0_germ_perc	0
2.13.4	13	2	Cockles-Warming	COCKLE	WARM	2	0	1	11	0.272727273	0_germ_perc	0.4	0_germ_perc	0.4
2.13.5	13	2	Worms-Warming	WORM	WARM	0	0	17	9	0	0_germ_perc	0.125	0_germ_perc	0.125
2.14.1	14	2	Shrimps-Warming	SHRIMP	WARM	0	1	0	8	0.1875	0_germ_perc	0	0_germ_perc	0
2.14.2	14	2	Worms-Warming	WORM	WARM	0	0	2	8	0.125	0_germ_perc	0	0_germ_perc	0
2.14.3	14	2	Cockles-Warming	COCKLE	WARM	2	0	0	10	0.5	0_germ_perc		0_germ_perc	
2.14.4	14	2	Mix-Warming	MIX	WARM	1	1	2	9	0.333333333	0_germ_perc	0	0_germ_perc	0
2.14.5	14	2	no fauna-Warming	NO	WARM	0	0	1	8	0.1875	0_germ_perc	0.25	0_germ_perc	0.25
2.15.1	15	2	Mix-Warming	MIX	WARM	1	0	6	11	0.636363636	0_germ_perc	0	0_germ_perc	0
2.15.2	15	2	Cockles-Warming	COCKLE	WARM	2	0	0	11	0.590909091	0_germ_perc		0_germ_perc	
2.15.3	15	2	Shrimps-Warming	SHRIMP	WARM	0	0	1	12	0.083333333	0_germ_perc	0	0_germ_perc	0
2.15.4	15	2	no fauna-Warming	NO	WARM	0	0	2	10	0	0_germ_perc	0.2	0_germ_perc	0.2
2.15.5	15	2	Worms-Warming	WORM	WARM	0	0	12	9	0.166666667	0_germ_perc	0	0_germ_perc	0
2.16.1	16	2	no fauna-Warming	NO	WARM	0	0	1	9	0.277777778	0_germ_perc	0	0_germ_perc	0
2.16.2	16	2	Cockles-Warming	COCKLE	WARM	2	0	4	9	0.111111111	0_germ_perc	0.2	0_germ_perc	0.2
2.16.3	16	2	Worms-Warming	WORM	WARM	0	0	4	11	0.227272727	0_germ_perc	0.5	0_germ_perc	0.5
2.16.4	16	2	Shrimps-Warming	SHRIMP	WARM	0	2	3	8	0.125	0_germ_perc	0.5	0_germ_perc	0.5
2.16.5	16	2	Mix-Warming	MIX	WARM	1	0	3	10	0.95	0_germ_perc	0.333333333	0_germ_perc	0.333333333
2.2.1	.2	2	Cockles-control temp	COCKLE	COLD	2	0	0	12	0.583333333	0_germ_perc	0	0_germ_perc	0
2.2.2	.2	2	no fauna-control temp	NO	COLD	0	0	0	9	0.111111111	0_germ_perc	0	0_germ_perc	0
2.2.3	.2	2	Worms-control temp	WORM	COLD	0	0	14	9	0.222222222	0_germ_perc	0.285714286	0_germ_perc	0.285714286
2.2.4	.2	2	Shrimps-control temp	SHRIMP	COLD	0	2	0	8	0	0_germ_perc	0.285714286	0_germ_perc	0.285714286
2.2.5	.2	2	Mix-control temp	MIX	COLD	1	1	13	10	0.1	0_germ_perc	0.333333333	0_germ_perc	0.333333333
2.3.1	.3	2	Worms-control temp	WORM	COLD	0	0	57	8	0.1875	0_germ_perc	0.142857143	0_germ_perc	0.142857143
2.3.2	.3	2	Shrimps-control temp	SHRIMP	COLD	0	2	12	10	0.45	0_germ_perc	0	0_germ_perc	0
2.3.3	.3	2	no fauna-control temp	NO	COLD	0	0	1	9	0.055555556	0_germ_perc	0.375	0_germ_perc	0.375
2.3.4	.3	2	Mix-control temp	MIX	COLD	1	1	18	11	0.227272727	0_germ_perc	0	0_germ_perc	0
2.3.5	.3	2	Cockles-control temp	COCKLE	COLD	2	0	0	10	0.2	0_germ_perc	0.2	0_germ_perc	0.2
2.4.1	.4	2	Cockles-control temp	COCKLE	COLD	2	0	0	11	0.636363636	0_germ_perc	0	0_germ_perc	0
2.4.2	.4	2	no fauna-control temp	NO	COLD	0	0	0	10	0	0_germ_perc	0.1	0_germ_perc	0.1
2.4.3	.4	2	Mix-control temp	MIX	COLD	1	0	15	9	0.277777778	0_germ_perc	0.333333333	0_germ_perc	0.333333333
2.4.4	.4	2	Shrimps-control temp	SHRIMP	COLD	0	1	3	10	0.35	0_germ_perc	0.333333333	0_germ_perc	0.333333333
2.4.5	.4	2	Worms-control temp	WORM	COLD	0	0	12	10	0.2	0_germ_perc	0	0_germ_perc	0
2.5.1	.5	2	Mix-control temp	MIX	COLD	1	1	26	8	0.1875	0_germ_perc	0	0_germ_perc	0
