Sample ID	block	run	treatment	fauna	rank	temp	cockles_nb	shrimps_nb	worms_nb	seed_nb	seed_depth	0_nb	1_nb	2_nb	3_nb	4_nb	5_nb	germinated_perc	germ_perc_deep	0_germ_perc	1_germ_perc	germ_perc_1-6	2_germ_perc	3_germ_perc	4_germ_perc	5_germ_perc	germ_depth	germ_nb	0_germ_nb	1_germ_nb	2_germ_nb	3_germ_nb	4_germ_nb	5_germ_nb	GERM	DEEPNO	X1NO
1.5.4	.5	1	2 shrimp - control temp	SHRIMP	3	COLD	0	1	0	8	0.1875	5	3	0	0	0	0	0.333333333	0.333333333	0.333333333	0.333333333						0.25	2	1	1	0	0	0	0	0.25	TRUE	TRUE
1.5.5	.5	1	fauna mix - control temp	MIX	5	COLD	1	1	0	5	0.3	2	3	0	0	0	0	0.25	0.5	0	0.5						0.5	1	0	1	0	0	0	0	0.20	TRUE	TRUE
1.6.1	.6	1	2 cockles - control temp	COCKLE	2	COLD	2	0	1	12	0.583333333	0	11	1	0	0	0	0.142857143	0.142857143		0.166666667	0	0				0.5	1	0	1	0	0	0	0	0.08	TRUE	TRUE
1.6.2	.6	1	no fauna-control temp	NO	1	COLD	0	0	0	11	0.454545455	5	5	0	1	0	0	0.375	0.4	0.333333333	0.25	1		1			1	3	1	1	0	1	0	0	0.27	TRUE	TRUE
1.6.3	.6	1	fauna mix - control temp	MIX	5	COLD	1	3	0	9	0.333333333	3	6	0	0	0	0	0	0	0	0							0	0	0	0	0	0	0	0.00	TRUE	TRUE
1.6.4	.6	1	2 shrimp - control temp	SHRIMP	3	COLD	0	0	0	7	0.071428571	6	1	0	0	0	0	0.2	0	0.25	0						0	1	1	0	0	0	0	0	0.14	FALSE	FALSE
1.6.5	.6	1	worms  - control temp	WORM	4	COLD	0	0	2	9	0.166666667	6	3	0	0	0	0	0	0	0	0							0	0	0	0	0	0	0	0.00	TRUE	TRUE
1.7.1	.7	1	worms  - control temp	WORM	4	COLD	0	0	2	6	0.583333333	1	4	1	0	0	0	0	0		0							0	0	0	0	0	0	0	0.00	TRUE	TRUE
1.7.2	.7	1	2 shrimp - control temp	SHRIMP	3	COLD	0	2	5	7	0	7	0	0	0	0	0	0		0								0	0	0	0	0	0	0	0.00	FALSE	FALSE
1.7.3	.7	1	2 cockles - control temp	COCKLE	2	COLD	2	0	0	11	0.272727273	5	6	0	0	0	0	0.5	0.333333333	0.666666667	0.333333333						0.166666667	3	2	1	0	0	0	0	0.27	TRUE	TRUE
1.7.4	.7	1	no fauna-control temp	NO	1	COLD	0	0	0	7	0.714285714	3	3	0	0	1	0	0	0	0	0	0	0		0			0	0	0	0	0	0	0	0.00	TRUE	TRUE
1.7.5	.7	1	fauna mix - control temp	MIX	5	COLD	1	1	0	8	0.125	6	2	0	0	0	0	0.75	1	0.666666667	1						0.166666667	3	2	1	0	0	0	0	0.38	FALSE	FALSE
1.8.1	.8	1	no fauna-control temp	NO	1	COLD	0	1	0	14	0.214285714	8	6	0	0	0	0		0	0	0	0	0	0				0	0	0	0	0	0	0	0.00	TRUE	TRUE
1.8.2	.8	1	worms  - control temp	WORM	4	COLD	0	0	2	10	0.25	5	5	0	0	0	0	0.333333333	0	0.5	0						0	1	1	0	0	0	0	0	0.10	TRUE	TRUE
1.8.3	.8	1	2 cockles - control temp	COCKLE	2	COLD	2	0	9	10	0.5	2	7	1	0	0	0	0	0	0	0	0	0					0	0	0	0	0	0	0	0.00	TRUE	TRUE
